gene	geneCat	labelGene	lof_z	wlof
ISL2	Other gene (n = 17,031)		2.4211	27.447457880890234
AC073610.5	Other gene (n = 17,031)		1.8373	27.416891433479122
NEK6	Other gene (n = 17,031)		2.824	27.291609382238626
DUSP26	Other gene (n = 17,031)		1.0544	27.16187061991907
TMEM70	Other gene (n = 17,031)		1.7473	26.65784912448905
TCF12	Sperm LOF selection gene (n=31)		4.5813	26.220943168240396
ASPDH	Other gene (n = 17,031)		0.53629	26.123794799495766
ELAVL3	Other gene (n = 17,031)		2.9169	25.829658321902762
TMEM59L	Other gene (n = 17,031)		2.0309	25.7588004783245
EGLN3	Other gene (n = 17,031)		1.7349	25.59742337992059
OR8I2	Other gene (n = 17,031)		-0.44143	25.582335023123225
ZFYVE21	Other gene (n = 17,031)		2.5773	25.571912974340304
GTF2H5	Other gene (n = 17,031)		0.57625	25.57078916142096
PTEN	Sperm LOF selection gene (n=31)		3.2044	24.949864623563933
CRYAA	Other gene (n = 17,031)		1.6061	24.914149187926174
HNRNPA0	Other gene (n = 17,031)		2.6146	24.728784646081774
ATP5G3	Other gene (n = 17,031)		1.8874	24.71939199179195
AKR7A2	Other gene (n = 17,031)		0.02978	24.615229079204994
NF1	Sperm LOF selection gene (n=31)		8.7339	24.179515094582232
ZC3HAV1L	Other gene (n = 17,031)		1.2086	23.696796553521224
DTX3	Other gene (n = 17,031)		2.8676	23.647849141770326
IL25	Other gene (n = 17,031)		0.48748	23.46488920661298
JSRP1	Other gene (n = 17,031)		-1.1787	23.30072729945879
IFI6	Other gene (n = 17,031)		0.58727	23.190719722017803
PRRC2A	Sperm LOF selection gene (n=31)		8.6189	23.128933847809424
RPL38	Other gene (n = 17,031)		2.2238	22.43271699380139
CCDC153	Other gene (n = 17,031)		0.98596	22.323557556767273
RBM12	Sperm LOF selection gene (n=31)		2.084	21.86688832704099
PRR22	Other gene (n = 17,031)		0.6136	21.805964100397674
PSG1	Other gene (n = 17,031)		-4.4637	21.796803384114696
SWSAP1	Other gene (n = 17,031)		0.62969	21.77016438324494
PPM1D	Sperm LOF selection gene (n=31)		1.1716	21.41395510039288
EIF2S3L	Other gene (n = 17,031)		0.93926	21.217347321098163
ZFAND5	Other gene (n = 17,031)		2.7197	20.833546390280965
CXCL10	Other gene (n = 17,031)		1.5856	20.591702524442148
TMEM254	Other gene (n = 17,031)		0.69033	20.460025085216596
GALK1	Other gene (n = 17,031)		1.3	20.39351529480696
OR52A5	Other gene (n = 17,031)		0.1016	20.349860433208665
DUT	Other gene (n = 17,031)		1.3023	20.016606504155888
CHCHD5	Other gene (n = 17,031)		1.4374	19.794871286115264
PTGDS	Other gene (n = 17,031)		1.9756	19.780870103740796
GPIHBP1	Other gene (n = 17,031)		1.4433	19.699310275483988
SPINK13	Other gene (n = 17,031)		0.10975	19.528482613272335
SNPH	Other gene (n = 17,031)		3.3917	19.42909878369117
CCL15	Other gene (n = 17,031)		1.4862	19.41754019623176
SULT4A1	Other gene (n = 17,031)		3.3343	19.335905050971526
SEMG1	Other gene (n = 17,031)		1.5537	19.303558395339103
OR5M3	Other gene (n = 17,031)		-1.1326	19.2376302774377
C17orf107	Other gene (n = 17,031)		0.92558	19.234244549961435
MRPS15	Other gene (n = 17,031)		0.27451	19.2326194485372
DDX3X	Sperm LOF selection gene (n=31)		4.6537	19.128569834260002
BSPH1	Other gene (n = 17,031)		1.4325	19.08016980730218
ATG4B	Other gene (n = 17,031)		3.8689	19.05823913472929
MTG2	Other gene (n = 17,031)		1.7704	18.884698858332207
C19orf77	Other gene (n = 17,031)		0.98424	18.638313097892713
RPS4X	Other gene (n = 17,031)		2.713	18.575901472447327
MTURN	Other gene (n = 17,031)		1.7629	18.480833577902228
PSMD3	Other gene (n = 17,031)		5.0023	18.476888525558206
LYZ	Other gene (n = 17,031)		-0.20104	18.329487042102514
FUT4	Other gene (n = 17,031)		1.1799	18.175756962654464
C6orf1	Other gene (n = 17,031)		1.6364	18.141254166653948
SYNPR	Other gene (n = 17,031)		1.8851	17.996961109012993
CYP4Z1	Other gene (n = 17,031)		-0.21923	17.975991259613693
CTDSP2	Other gene (n = 17,031)		2.433	17.869887274459895
UBFD1	Other gene (n = 17,031)		3.1436	17.75244922221661
TEPP	Other gene (n = 17,031)		1.6106	17.705090867434187
LAMTOR3	Other gene (n = 17,031)		2.4123	17.663258024746156
PIGC	Other gene (n = 17,031)		1.4552	17.575178382426337
NQO2	Other gene (n = 17,031)		0.38402	17.543315050970026
ASB17	Other gene (n = 17,031)		0.37654	17.444272772526137
SIRPB2	Other gene (n = 17,031)		1.274	17.42095802996071
TNFRSF17	Other gene (n = 17,031)		-0.62606	17.406974255118577
STUB1	Other gene (n = 17,031)		2.5359	17.406854275893846
SPHK1	Other gene (n = 17,031)		0.4912	17.311770287872786
SNX24	Other gene (n = 17,031)		0.76859	17.213290802937326
COLEC10	Other gene (n = 17,031)		1.6596	17.197670611579877
HLX	Other gene (n = 17,031)		3.2144	17.16039668166727
PSORS1C1	Other gene (n = 17,031)		-0.24901	17.13823092015928
TARBP2	Other gene (n = 17,031)		3.1669	17.061700044719124
ACTR5	Other gene (n = 17,031)		1.5365	16.939462636300295
PID1	Other gene (n = 17,031)		1.1572	16.858858257604645
CA11	Other gene (n = 17,031)		2.2266	16.802125412821937
PDZD9	Other gene (n = 17,031)		1.0948	16.71443893255336
AGAP2-AS1	Other gene (n = 17,031)		1.7143	16.619130550953667
IFI35	Other gene (n = 17,031)		0.60382	16.56742211920975
FAM151A	Other gene (n = 17,031)		-0.2805	16.532959190589416
RAB25	Other gene (n = 17,031)		0.16779	16.511289660806344
EGFL7	Other gene (n = 17,031)		-1.8133	16.40377141204114
NOV	Other gene (n = 17,031)		2.0964	16.40265740165675
SCAF4	Sperm LOF selection gene (n=31)		6.9153	16.337849239596203
HSPB2	Other gene (n = 17,031)		0.62567	16.285498573744626
PON3	Other gene (n = 17,031)		0.80424	16.267218605486857
MARC2	Other gene (n = 17,031)		1.5854	16.251552227251334
KLK2	Other gene (n = 17,031)		0.78197	16.21407847406289
TP53I13	Other gene (n = 17,031)		1.8058	16.213069206684448
MRPL12	Other gene (n = 17,031)		1.1694	16.092672659066086
P2RX2	Other gene (n = 17,031)		0.17953	16.0429316869007
CIB3	Other gene (n = 17,031)		-0.64053	15.961850485847211
B2M	Other gene (n = 17,031)		2.0389	15.92997518061029
C20orf141	Other gene (n = 17,031)		0.53715	15.889515770683865
EXOC3L2	Other gene (n = 17,031)		3.2593	15.84401146013592
ROBO1	Sperm LOF selection gene (n=31)		4.7242	15.785610951863148
TMEM185B	Other gene (n = 17,031)		3.0289	15.735709523543461
NPL	Other gene (n = 17,031)		1.1249	15.707528564356855
TFPT	Other gene (n = 17,031)		1.2543	15.63278603458854
PTH	Other gene (n = 17,031)		0.49561	15.6250573389877
RAD51B	Other gene (n = 17,031)		-0.56346	15.624339814148204
SLC7A5	Other gene (n = 17,031)		3.1651	15.606835514691056
TMEM196	Other gene (n = 17,031)		-0.10886	15.529301614012027
KMT2E	Sperm LOF selection gene (n=31)		8.1113	15.473674288709145
RNF126	Other gene (n = 17,031)		3.227	15.467084849497114
OR52A1	Other gene (n = 17,031)		0.6167	15.433760513282726
LCAT	Other gene (n = 17,031)		2.7129	15.389723425258918
PABPN1	Other gene (n = 17,031)		2.6658	15.318936947840708
OR51V1	Other gene (n = 17,031)		0.78217	15.246612773962067
PRTFDC1	Other gene (n = 17,031)		-0.55567	15.237454200350664
SKAP2	Other gene (n = 17,031)		2.7638	15.229735605578583
DPF1	Other gene (n = 17,031)		4.2999	15.177006953010125
AQP3	Other gene (n = 17,031)		2.5099	15.15283552202313
RHOH	Other gene (n = 17,031)		1.4932	15.121244151849258
OR8K5	Other gene (n = 17,031)		-0.7329	15.090582672878362
TMEM178B	Other gene (n = 17,031)		3.2333	15.060597563254651
RNF2	Other gene (n = 17,031)		3.8751	14.962039301349945
CCAR2	Sperm LOF selection gene (n=31)		5.2669	14.894364616842296
SC5D	Other gene (n = 17,031)		1.6554	14.8857608194045
MTNR1B	Other gene (n = 17,031)		0.96208	14.865637942900497
CHP1	Other gene (n = 17,031)		2.638	14.823041876370816
AP1AR	Other gene (n = 17,031)		2.9481	14.792287055743586
RGR	Other gene (n = 17,031)		-0.35157	14.758082520696249
EMC10	Other gene (n = 17,031)		-0.17847	14.748332704614066
GALM	Other gene (n = 17,031)		0.051233	14.742436068039211
NR2F2	Other gene (n = 17,031)		3.4378	14.649647721576445
SUN5	Other gene (n = 17,031)		0.57166	14.571866686628784
MRPL19	Other gene (n = 17,031)		2.2709	14.55370647989356
DNAAF3	Other gene (n = 17,031)		1.6104	14.49680255587525
NUDT5	Other gene (n = 17,031)		1.9039	14.48583875663092
TFB2M	Other gene (n = 17,031)		1.7187	14.440080397633254
DUOXA1	Other gene (n = 17,031)		1.6353	14.410634011805747
CXCR4	Other gene (n = 17,031)		1.4754	14.391667064050507
MRPS18B	Other gene (n = 17,031)		1.5031	14.358300636208515
LCN9	Other gene (n = 17,031)		1.4452	14.352805152841878
MED27	Other gene (n = 17,031)		1.5196	14.25598951207001
ROPN1B	Other gene (n = 17,031)		0.54514	14.20344389359824
CYP1A2	Other gene (n = 17,031)		0.46031	14.087303955141609
WDR86	Other gene (n = 17,031)		0.10827	14.056107875194428
NFE2	Other gene (n = 17,031)		2.7113	14.020354730200213
NEDD8-MDP1	Other gene (n = 17,031)		1.6382	13.961934933788466
DACT2	Other gene (n = 17,031)		1.1101	13.906769975401954
ZFP41	Other gene (n = 17,031)		-0.06249	13.896838818501305
ZFP41	Other gene (n = 17,031)		-0.06249	13.896838818501305
UBLCP1	Other gene (n = 17,031)		2.7774	13.885390026914513
C7orf55-LUC7L2	Other gene (n = 17,031)		3.3154	13.88407819240097
CLVS2	Other gene (n = 17,031)		1.9123000000000001	13.88042426972473
NRTN	Other gene (n = 17,031)		1.1207	13.730587221559443
CBLC	Other gene (n = 17,031)		1.0151	13.676012431943091
MSL1	Other gene (n = 17,031)		4.1183	13.673787252340633
TCEANC	Other gene (n = 17,031)		1.4612	13.646543899982618
TREML4	Other gene (n = 17,031)		-0.47662	13.599220924869995
ZDHHC12	Other gene (n = 17,031)		1.4489	13.580088839517856
TXNDC8	Other gene (n = 17,031)		1.0132	13.560546436867567
H3F3B	Other gene (n = 17,031)		2.1605	13.54066633922056
OR2J2	Other gene (n = 17,031)		0.83062	13.532958139809717
TSPYL2	Other gene (n = 17,031)		3.1839	13.455962157198101
DHRS9	Other gene (n = 17,031)		0.021915	13.42761672728006
RGMB	Other gene (n = 17,031)		2.2077	13.409713593505437
VILL	Other gene (n = 17,031)		1.0411	13.360062859377496
ANKRD61	Other gene (n = 17,031)		1.2758	13.324994634235235
TMEM66	Other gene (n = 17,031)		2.0581	13.32368662562881
DMRT2	Other gene (n = 17,031)		2.261	13.293305182769382
CERS3	Other gene (n = 17,031)		2.9013	13.261951828514373
MGAT1	Other gene (n = 17,031)		3.4086	13.214504429105784
PPP2R2C	Other gene (n = 17,031)		3.598	13.207440432436847
C1orf123	Other gene (n = 17,031)		0.50041	13.198479968769147
C19orf38	Other gene (n = 17,031)		1.7641	13.151521982656634
SLC38A11	Other gene (n = 17,031)		-0.69728	13.147363008893189
RNASE12	Other gene (n = 17,031)		0.21417	13.119266756028932
FTSJ2	Other gene (n = 17,031)		0.45923	13.110651071190095
SLC35E3	Other gene (n = 17,031)		0.70589	13.109005953795174
PINX1	Other gene (n = 17,031)		-0.40013	13.014046793035067
AIMP1	Other gene (n = 17,031)		0.92294	13.004665894312476
G6PC	Other gene (n = 17,031)		1.5355	13.00191805369889
PLD6	Other gene (n = 17,031)		0.24343	12.942652044435295
TTYH3	Other gene (n = 17,031)		4.6752	12.891223169546912
TOX	Other gene (n = 17,031)		4.3216	12.867040586621718
NTN3	Other gene (n = 17,031)		0.94261	12.841074703706502
ICMT	Other gene (n = 17,031)		2.9686	12.838430014784944
C4orf26	Other gene (n = 17,031)		0.65518	12.80023981264062
RNF26	Other gene (n = 17,031)		2.6854	12.760927815160493
DHX9	Sperm LOF selection gene (n=31)		7.6244	12.685948526778208
NCR3	Other gene (n = 17,031)		0.68035	12.67421906934716
HERC5	Other gene (n = 17,031)		3.2283	12.663238635374075
GSR	Other gene (n = 17,031)		1.8934	12.660297011965149
SLC35B4	Other gene (n = 17,031)		1.6827	12.651809890606089
PDK2	Other gene (n = 17,031)		1.8461	12.584435287983256
SIAE	Other gene (n = 17,031)		0.93945	12.573119347826548
THEG	Other gene (n = 17,031)		0.50827	12.56013827291921
ZNF345	Other gene (n = 17,031)		0.40868	12.535598295922558
GIGYF1	Other gene (n = 17,031)		4.9349	12.470375458202906
LUC7L2	Other gene (n = 17,031)		3.0024	12.448756057340738
MAPK3	Other gene (n = 17,031)		2.8037	12.43675937853544
PRIM1	Other gene (n = 17,031)		2.6723	12.414361420069596
CABP4	Other gene (n = 17,031)		-0.017154	12.370944328680576
SLC15A3	Other gene (n = 17,031)		0.32175	12.349060765818688
HAUS1	Other gene (n = 17,031)		0.67034	12.34713157250028
POLR2C	Other gene (n = 17,031)		2.3964	12.302748289272362
GABRR2	Other gene (n = 17,031)		1.9265	12.283865623881804
COX7A2L	Other gene (n = 17,031)		-0.71394	12.283174531746365
BMPR2	Sperm LOF selection gene (n=31)		5.8798	12.259286830392178
CYP2W1	Other gene (n = 17,031)		1.2401	12.259186101305554
EGLN2	Other gene (n = 17,031)		3.1895	12.220884944249455
CDK14	Other gene (n = 17,031)		1.7538	12.21435829990797
ABHD2	Other gene (n = 17,031)		3.4643	12.19188745279226
MTHFD2L	Other gene (n = 17,031)		1.1326	12.178087552490044
CRHR2	Other gene (n = 17,031)		0.38061	12.177940752351795
SMAD3	Other gene (n = 17,031)		3.6554	12.166758214833362
MKNK2	Other gene (n = 17,031)		2.3534	12.14301100235121
DMWD	Other gene (n = 17,031)		3.0253	12.129200983036213
MDP1	Other gene (n = 17,031)		0.52511	12.127098488343416
POC1B	Other gene (n = 17,031)		1.8233	12.12678747849872
TBKBP1	Other gene (n = 17,031)		3.5615	12.116625551527871
VSIG8	Other gene (n = 17,031)		2.0537	12.095639354355356
DAOA	Other gene (n = 17,031)		0.19748	12.086696146060966
GMPPB	Other gene (n = 17,031)		1.2752	12.08413786480283
DAO	Other gene (n = 17,031)		-1.1282	12.067860316617901
SEMG2	Other gene (n = 17,031)		0.78709	12.058935117927474
PROP1	Other gene (n = 17,031)		1.776	12.052500258186997
CCNB1	Other gene (n = 17,031)		2.9983	12.033268497184586
NAT14	Other gene (n = 17,031)		0.24364	11.995965877741613
CDR2L	Other gene (n = 17,031)		2.0527	11.980408348223841
WISP3	Other gene (n = 17,031)		2.0445	11.978071787332164
GHITM	Other gene (n = 17,031)		2.3356	11.961685749518926
BCL9	Other gene (n = 17,031)		4.648	11.921205914411981
TACR1	Other gene (n = 17,031)		1.837	11.8972059137088
TMEM54	Other gene (n = 17,031)		1.1475	11.84786471518662
PLGRKT	Other gene (n = 17,031)		-0.72392	11.79232399345789
SPATA22	Other gene (n = 17,031)		2.3529	11.78456553839271
RALYL	Other gene (n = 17,031)		2.7752	11.768860792883174
LRRC42	Other gene (n = 17,031)		1.151	11.764464196265886
GABARAPL2	Other gene (n = 17,031)		0.44208	11.750532826277347
UGDH	Other gene (n = 17,031)		2.5346	11.746923612976506
ZNF143	Other gene (n = 17,031)		3.3012	11.733589848981563
RXRA	Other gene (n = 17,031)		4.0355	11.65536542467349
CBX1	Other gene (n = 17,031)		3.1405	11.628672548498814
SNIP1	Other gene (n = 17,031)		3.1035	11.626683938196622
TAB1	Other gene (n = 17,031)		1.8147	11.626439535123133
KNSTRN	Other gene (n = 17,031)		1.6282	11.605492140154388
KRT81	Other gene (n = 17,031)		-1.7586	11.598124959890814
KIAA1161	Other gene (n = 17,031)		0.39877	11.576035274870808
PIN1	Other gene (n = 17,031)		2.4337	11.572817734188988
BCAS1	Other gene (n = 17,031)		2.101	11.54634132025206
FGFR1OP2	Other gene (n = 17,031)		1.9492	11.532646317228934
CALR3	Other gene (n = 17,031)		1.0505	11.528905205730313
FUT9	Other gene (n = 17,031)		2.2789	11.504568165780045
WWTR1	Other gene (n = 17,031)		3.4564	11.49630897996174
SEPT14	Other gene (n = 17,031)		1.6196	11.44542516136914
HBD	Other gene (n = 17,031)		-0.96597	11.42619732969109
SH2B3	Other gene (n = 17,031)		2.2429	11.41851362889012
GEM	Other gene (n = 17,031)		0.74136	11.38795676857985
CCDC178	Other gene (n = 17,031)		0.90322	11.374176497367007
RCE1	Other gene (n = 17,031)		2.5945	11.336844524772763
MICU1	Other gene (n = 17,031)		0.46532	11.319963067505872
PARVG	Other gene (n = 17,031)		1.9146	11.31972360853013
PAQR3	Other gene (n = 17,031)		1.8326	11.241301431231353
PITPNC1	Other gene (n = 17,031)		3.8302	11.237745865244086
MTERFD3	Other gene (n = 17,031)		0.7485	11.213747172778378
IFNE	Other gene (n = 17,031)		0.63431	11.205978723994145
ERMN	Other gene (n = 17,031)		0.85189	11.192945919974424
PRSS27	Other gene (n = 17,031)		1.131	11.171664868849662
DNAJB4	Other gene (n = 17,031)		1.999	11.143294999427
RPL3L	Other gene (n = 17,031)		-0.5311	11.142465192944869
NECAB1	Other gene (n = 17,031)		3.0437	11.13370177666078
G3BP1	Other gene (n = 17,031)		3.4804	11.120135378309964
CDKN1A	Other gene (n = 17,031)		0.87139	11.112787770708966
ALKBH8	Other gene (n = 17,031)		2.8956	11.105568136597855
TRERF1	Other gene (n = 17,031)		6.6378	11.093652299245122
HRAS	Other gene (n = 17,031)		1.7198	11.086950467613073
PGLYRP3	Other gene (n = 17,031)		0.96818	11.084807156905585
BSCL2	Other gene (n = 17,031)		1.5264	11.079226744938635
FAM65B	Other gene (n = 17,031)		5.206	11.073239419944382
COMT	Other gene (n = 17,031)		-0.043027	11.072054127311768
RGL4	Other gene (n = 17,031)		0.43584	11.071087946485019
SULT1A1	Other gene (n = 17,031)		-0.073246	11.05530946654572
TNF	Other gene (n = 17,031)		2.5944	11.04689013335691
KLK14	Other gene (n = 17,031)		0.080123	11.026882660766317
STX5	Other gene (n = 17,031)		3.4348	11.023318404751254
XKR8	Other gene (n = 17,031)		0.29994	10.993004527654385
KCNA6	Other gene (n = 17,031)		2.8356	10.947577724624974
SPOP	Other gene (n = 17,031)		4.2133	10.939644306134895
CERCAM	Other gene (n = 17,031)		2.2822	10.922428051877572
KRT17	Other gene (n = 17,031)		0.40106	10.91208413360881
NDUFS7	Other gene (n = 17,031)		2.9843	10.90674321657579
SHC1	Other gene (n = 17,031)		2.8691	10.898581124782101
FAM189A1	Other gene (n = 17,031)		2.4038	10.888146143254051
B4GALNT2	Other gene (n = 17,031)		-0.23503	10.872982021737844
CALR	Other gene (n = 17,031)		3.5706	10.86880389459637
GRM6	Other gene (n = 17,031)		0.77767	10.839899731032947
MAP2K1	Other gene (n = 17,031)		3.5883	10.839050620374417
SYT2	Other gene (n = 17,031)		3.5425	10.83889143249391
DACT1	Other gene (n = 17,031)		3.4206	10.83854733082288
TMEM239	Other gene (n = 17,031)		0.54729	10.82126692961682
TMEM239	Other gene (n = 17,031)		0.41851	10.82126692961682
WDR12	Other gene (n = 17,031)		3.0479	10.78755876225493
SERPINA4	Other gene (n = 17,031)		-0.14892	10.739743582684897
C21orf62	Other gene (n = 17,031)		0.32967	10.739343572675105
GJB2	Other gene (n = 17,031)		-3.8163	10.73430603810828
ARHGAP35	Sperm LOF selection gene (n=31)		6.6838	10.723481545118847
CCDC183	Other gene (n = 17,031)		1.6212	10.709938549120649
NDUFA6	Other gene (n = 17,031)		0.16754	10.673960389295775
ZBTB7C	Other gene (n = 17,031)		2.5985	10.665055488270932
FKBP5	Other gene (n = 17,031)		3.5446	10.661132796820667
FCF1	Other gene (n = 17,031)		2.1892	10.644524411670403
ENGASE	Other gene (n = 17,031)		-0.088066	10.63977730954789
MPZ	Other gene (n = 17,031)		2.4338	10.62821487253252
ABHD5	Other gene (n = 17,031)		1.6261	10.622311024711532
ADCYAP1	Other gene (n = 17,031)		1.9576	10.619089626211188
ZNF207	Other gene (n = 17,031)		3.5301	10.61302298536543
NAA20	Other gene (n = 17,031)		1.5174	10.605449609296256
TNFRSF14	Other gene (n = 17,031)		3.001	10.591787162237665
FEZ1	Other gene (n = 17,031)		3.5708	10.588360833706124
B4GALT2	Other gene (n = 17,031)		2.7007	10.584148325175548
LRTM2	Other gene (n = 17,031)		2.807	10.57106490489718
C5orf22	Other gene (n = 17,031)		2.3783	10.56144494206344
GDF5OS	Other gene (n = 17,031)		1.0614	10.534861154311068
PLA2G7	Other gene (n = 17,031)		-1.1654	10.53075430730382
PTOV1	Other gene (n = 17,031)		3.5831	10.529407563043922
ADCY7	Other gene (n = 17,031)		4.1702	10.518074228778145
NOG	Other gene (n = 17,031)		2.4818	10.507412989207975
AQP8	Other gene (n = 17,031)		1.275	10.48790231596358
SCAMP5	Other gene (n = 17,031)		2.682	10.464726883102182
DEAF1	Other gene (n = 17,031)		2.6888	10.44930427194816
ZNF93	Other gene (n = 17,031)		-0.0082923	10.440063986879878
ELTD1	Other gene (n = 17,031)		1.5406	10.42699558204381
RAD21	Other gene (n = 17,031)		4.5967	10.405367579751525
PIK3R2	Other gene (n = 17,031)		3.8832	10.396367764059496
TBC1D20	Other gene (n = 17,031)		3.4108	10.385125062533064
KLHL6	Other gene (n = 17,031)		2.319	10.378262763335703
PDCD4	Other gene (n = 17,031)		1.8304	10.377194252601383
SDCBP2	Other gene (n = 17,031)		0.55027	10.355568122842982
RBFOX2	Other gene (n = 17,031)		4.3975	10.345620602055485
TBX19	Other gene (n = 17,031)		1.6336	10.342895606708701
MRPL51	Other gene (n = 17,031)		1.1726	10.337461845736485
SNAPC2	Other gene (n = 17,031)		1.8606	10.336485850938976
TM4SF4	Other gene (n = 17,031)		0.02286	10.318477445216837
PCDHB8	Other gene (n = 17,031)		0.98671	10.317927689728942
SLC5A2	Other gene (n = 17,031)		1.0217	10.315357898027518
ARPC1B	Other gene (n = 17,031)		2.748	10.29407308611908
PDP2	Other gene (n = 17,031)		1.6683	10.283462683828812
OR5A1	Other gene (n = 17,031)		0.20259	10.267816586380226
GLYR1	Other gene (n = 17,031)		4.9405	10.26294901701546
BUB3	Other gene (n = 17,031)		3.3573	10.258993018889372
SNRNP27	Other gene (n = 17,031)		1.5381	10.232928437848042
NSUN3	Other gene (n = 17,031)		0.66827	10.223708261731993
CD34	Other gene (n = 17,031)		1.4904	10.191301232348929
VSIG1	Other gene (n = 17,031)		1.6151	10.181875674315178
ATXN2	Other gene (n = 17,031)		5.4792	10.177297267694087
SLC22A13	Other gene (n = 17,031)		0.19301	10.162169952057752
RAG1	Other gene (n = 17,031)		2.5981	10.124857915523549
MRPS24	Other gene (n = 17,031)		1.2755	10.11520527795875
POLDIP2	Other gene (n = 17,031)		3.4389	10.098418936210837
FADS2	Other gene (n = 17,031)		4.4768	10.093748679171185
TRHR	Other gene (n = 17,031)		2.4328	10.090979878759802
CD180	Other gene (n = 17,031)		1.5903	10.051569923302896
MTIF3	Other gene (n = 17,031)		0.10048	10.047218449751268
LIF	Other gene (n = 17,031)		1.9575	10.044983900509566
OXSM	Other gene (n = 17,031)		1.1528	10.035367350394417
UBE2V2	Other gene (n = 17,031)		1.187	10.008391690532203
BCL2L2-PABPN1	Other gene (n = 17,031)		2.8734	10.007230193776726
TMEM60	Other gene (n = 17,031)		1.9992	9.962105207455952
SMAD5	Other gene (n = 17,031)		4.0093	9.94524087246861
CRNN	Other gene (n = 17,031)		0.77482	9.928953305432595
SHBG	Other gene (n = 17,031)		1.4227	9.89639938902729
SNAPC3	Other gene (n = 17,031)		1.4968	9.894601021289704
B4GALT4	Other gene (n = 17,031)		1.1429	9.892175694339384
MST4	Other gene (n = 17,031)		2.9254	9.884807529286087
APEH	Other gene (n = 17,031)		2.4768	9.877765671289875
C14orf159	Other gene (n = 17,031)		-0.71333	9.877342096022502
RSL24D1	Other gene (n = 17,031)		2.8322	9.874303592495174
IL2RB	Other gene (n = 17,031)		3.2624	9.84785361415968
KPNA1	Other gene (n = 17,031)		4.7181	9.844523144130505
RNF175	Other gene (n = 17,031)		0.099277	9.833696939192963
ZNF446	Other gene (n = 17,031)		1.204	9.832478820466408
C15orf38	Other gene (n = 17,031)		0.43294	9.826749324590477
TNPO3	Other gene (n = 17,031)		4.5606	9.785009621604152
PNISR	Other gene (n = 17,031)		5.699	9.771907286367338
SLFN13	Other gene (n = 17,031)		-0.37687	9.743779947640547
POLD2	Other gene (n = 17,031)		2.6643	9.740885631747355
ABCB9	Other gene (n = 17,031)		2.9645	9.726612242732369
TUBG2	Other gene (n = 17,031)		2.3005	9.717272342790412
TNFSF11	Other gene (n = 17,031)		1.9593	9.71271083461118
ADARB1	Other gene (n = 17,031)		3.6659	9.71222469676137
OR2J3	Other gene (n = 17,031)		1.1374	9.710911013672671
NYAP1	Other gene (n = 17,031)		4.441	9.69969798833699
CNPY4	Other gene (n = 17,031)		-0.79506	9.68828828134076
SH3BGRL	Other gene (n = 17,031)		1.3863	9.68328353142707
