gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
DDX3X	0	12	5	2	4	2.67671372150724	21.20880441509924	21.20880441509924	17.048335253420763	0.00651506599544693	9.945951484624517e-8	4.203466608121431e-8	0.00120258626334774	0.8136677215017273	2.0791459025747293e-4	5.272268051013107e-5	0.8703949347568384	1.2489997924802763e-9	1.958223507976993e-6
CSNK2B	0	6	1	1	4	8.656311529244247	39.14022109077441	39.14022109077441	51.52092676909683	1.3096121375633096e-4	0.00108397175325336	4.025375169303125e-6	2.4298955462584533e-5	0.12967917240061108	0.6738625705320888	0.00378667042176344	0.04572577438949157	2.35218988731134e-9	3.404161579990427e-6
KRAS	1	14	0	0	0	13.395998387344116	0	0	0	5.0855541999794696e-11	0.677031230743241	3.8214076347742315e-10	1	1.913592334368275e-7	0.9424126707052872	6.535996658240218e-7	1	8.668951889667653e-9	1.1649832918014802e-5
FGFR3	8	40	1	1	1	3.943831108701057	3.6510624105442417	3.6510624105442417	5.990157668522379	1.2393570614221971e-9	0.13509427775158722	5.391685653499678e-9	0.1436418987033794	3.886210625599536e-6	0.9424126707052872	8.453264490411911e-6	1	1.7021995146748736e-8	2.074256178155598e-5
PPM1D	1	5	7	0	5	1.101802883878364	13.240485378882154	13.240485378882154	29.587424821903607	0.8397700367650358	2.366425546962425e-6	1.4506024934246575e-5	5.542262778809885e-5	0.9331105080623984	0.00404744820368646	0.01137151471303812	0.0948130008833131	1.7640107818905904e-8	2.074256178155598e-5
ARID1A	8	19	9	3	7	0.9886801290931858	9.311081872132084	9.311081872132084	8.128208440699359	0.9664314578545244	4.39466670831834e-8	2.2593365733847293e-7	0.00408843265604638	0.9874261031073917	1.0335157431287656e-4	2.5004210759800176e-4	1	2.0139395373597324e-8	2.228838732699177e-5
KMT2E	3	13	3	2	15	1.0537322336870971	5.466445312387117	5.466445312387117	25.48090326503117	0.8691405691620114	0.00365052554714595	0.0145288891099321	2.2697258255670618e-7	0.9454215233703795	0.9424126707052872	0.9771679320909128	5.338962573190121e-4	6.770112348508661e-8	7.07627187360233e-5
BRAF	1	24	0	0	1	5.215640832722626	0	0	4.276873707757533	8.07866851193495e-9	0.24416277472491388	2.2877554406441906e-8	0.19051191436289697	1.899900867294302e-5	0.9424126707052872	3.0744164900199855e-5	1	8.82635580179425e-8	8.739950423945106e-5
HRAS	0	16	0	0	1	7.135492788549807	0	0	22.173900935226147	2.1657684867726346e-8	0.6348542564719355	1.3484381444772708e-7	0.04320694152937509	4.074676831014035e-5	0.9424126707052872	1.5855947031372108e-4	1	1.1629598828388765e-7	1.0939963617865312e-4
EP300	6	40	5	2	9	2.081814114566584	4.41606591159403	4.41606591159403	10.658642999024346	8.615757527424828e-4	0.00220050633259361	1.2650114300105653e-4	7.523740511408374e-4	0.5228931036160345	0.9424126707052872	0.08206870704903026	0.6435534042894673	1.6339404680376646e-6	0.00146385504598383
SCAF4	0	6	3	0	6	2.775926620012795	16.843283115307454	16.843283115307454	15.832415363884955	0.03952055029765045	8.595495090102379e-4	5.854004780104782e-4	3.7682468079952667e-4	0.8136677215017273	0.5775558736613792	0.2898348577181352	0.4171227554873819	3.601615438775241e-6	0.00308003603932351
BMPR2	5	12	5	1	6	1.3247643525995032	7.927486541677783	7.927486541677783	16.59108711910657	0.39947964440219896	2.0514752333777864e-4	8.822475271330621e-4	3.0615404233815804e-4	0.8136677215017273	0.21442475022649815	0.38601406919724257	0.36007542304496615	4.355275468492792e-6	0.0035626153332271
TCF12	0	4	2	1	2	5.081713186695778	42.86103934549328	42.86103934549328	9.580846990987506	0.01183765188952035	4.915292667961868e-5	1.37112294585906e-5	0.02932171569805803	0.8136677215017273	0.066054511610739	0.01121578569712711	1	6.322720660367764e-6	0.00495648610433996
DHX9	0	7	3	0	5	3.82072690089494	14.54470458048165	14.54470458048165	10.827192473074769	0.00516104731662814	0.00133907763683338	1.5864387570807548e-4	0.00287809774327446	0.8136677215017273	0.7409825488053917	0.09628147992166876	1	7.122604251397213e-6	0.00525709266759809
CCAR2	1	9	2	1	1	4.905297784971584	25.215081796012893	25.215081796012893	4.573647437671698	2.847731241418794e-4	2.5067461528371915e-4	2.586254311598424e-6	0.18032090212753804	0.22323839823355493	0.2482206427340996	0.0027032104788007	1	7.265037172188293e-6	0.00525709266759809
NSD1	8	37	7	0	9	1.7131123247275115	4.4640457454606866	4.4640457454606866	11.053909584258198	0.01543499062655751	0.00204288819143239	0.00113534108534341	6.263652491832059e-4	0.8136677215017273	0.9424126707052872	0.4699189944550344	0.6163548073798341	1.0778294366131648e-5	0.00751047519275558
LZTR1	1	11	0	1	1	6.714542808995907	10.630618676216397	10.630618676216397	6.205894696654746	3.995591410621557e-6	0.08880136540444594	6.739996494586897e-6	0.13932533388982205	0.00612289045268879	0.9424126707052872	0.0057639224567799	1	1.397159020033456e-5	0.00938791064389622
SEMG1	1	3	0	0	6	2.759154357696557	0	0	38.607116790678205	0.13988240542328023	0.6145344571471767	0.29459479274512446	4.966599698667091e-6	0.8136677215017273	0.9424126707052872	0.9771679320909128	0.01038460812550192	2.112024214073749e-5	0.01370193915985638
ARHGAP35	3	26	4	0	7	1.594220442828858	4.470927545723271	4.470927545723271	16.976035544514424	0.06617789712074773	0.01840431415585153	0.01733781388074118	1.5342897314000317e-4	0.8136677215017273	0.9424126707052872	0.9771679320909128	0.22209433973450612	3.68084893144216e-5	0.0230838305987176
FGFR2	3	27	0	0	0	3.639026247027054	0	0	0	1.0346600112232096e-6	0.2852356803115528	2.981533328005881e-6	1	0.00176964485919576	0.9424126707052872	0.00295234568595277	1	4.091579906551068e-5	0.02483193043930703
CBL	1	22	3	2	0	3.0717506103444308	7.166251637363317	7.166251637363317	0	7.950141995316518e-5	0.00109259447126675	5.659834938720465e-6	1	0.0879846891175794	0.6738625705320888	0.00507067307319461	1	7.404261624099906e-5	0.04353243068619238
SSX1	0	3	1	0	1	17.95278733358824	61.51717975529574	61.51717975529574	16.487591879617224	7.083394190736669e-4	0.01243769404327965	1.5198020458839778e-4	0.05727946577407224	0.45954130449834374	0.9424126707052872	0.09531185230420386	1	1.1013630998191191e-4	0.06279104654544518
RBM12	0	2	3	0	3	0.9020548888158552	36.94933691636063	36.94933691636063	6.784439737721352	0.8850749288740284	7.767625608134932e-5	3.9481853458844807e-4	0.02793036695265059	0.9533767947183884	0.0974267387943004	0.2250944215074867	1	1.3690687977874205e-4	0.07575782459286039
TRERF1	1	8	4	0	0	2.899554600525647	22.187304598490243	22.187304598490243	0	0.01470027973197585	4.118470790959172e-5	1.6951755210103947e-5	1	0.8136677215017273	0.05960377650854297	0.01275721290091582	1	2.031691454922324e-4	0.10921212295116745
FAM222B	1	9	0	0	0	8.45587035988317	0	0	0	4.230763042678554e-6	0.7419760380007449	2.386720676705867e-5	1	0.00612289045268879	0.9424126707052872	0.01727067800444007	1	2.7788601113831746e-4	0.1452263170432307
FAT1	19	82	5	0	18	1.502625348004959	1.938875881233402	1.938875881233402	8.653498011858717	0.01605126380726362	0.1942197785655707	0.0361830722780716	6.909035508900458e-4	0.8136677215017273	0.9424126707052872	0.9771679320909128	0.6191153819356611	2.899054106907384e-4	0.14741298369555547
BCL9	1	8	3	0	3	2.1216315184872956	17.190390088042342	17.190390088042342	6.65202174078162	0.07399801071130552	8.060487466651223e-4	9.366389757957672e-4	0.02911064858333709	0.8136677215017273	0.5616667081391707	0.40049831115049006	1	3.138298833043063e-4	0.15537882696018995
EIF2S3L	0	3	1	0	4	1.6732833098838866	14.707317967425508	14.707317967425508	27.727376674770817	0.4236134579873554	0.06168960537596413	0.12998729149194688	2.3019259347098277e-4	0.8136677215017273	0.9424126707052872	0.9771679320909128	0.2887842815957969	3.4161814143018887e-4	0.16480009520173264
ANKRD11	4	8	1	0	10	1.3796066032749927	3.4669698440665817	3.4669698440665817	15.284612225931582	0.41971595532802	0.30501003984312236	0.4393845774049413	7.506031542118714e-5	0.8136677215017273	0.9424126707052872	0.9771679320909128	0.11770708463299163	3.7332427272906976e-4	0.17559307167811797
TSPYL2	2	6	1	0	3	4.249714305274678	15.969739973845115	15.969739973845115	10.942184340551089	0.00545746653954659	0.05620138964893939	0.00372761517994946	0.00954456121699122	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	4.000359375236906e-4	0.18356771045294423
CTNNB1	1	10	4	2	2	1.1999818396779418	8.540831618130726	8.540831618130726	6.578557125352485	0.61163576463440394	1.3994619718249446e-4	6.975169320770913e-4	0.05367404802805521	0.8325442832160566	0.1619899887293269	0.3212897294298747	1	4.190426377248535e-4	0.18771114728941415
UBE2H	0	1	0	1	2	4.975312691443119	40.72467603533208	40.72467603533208	35.8105378475826	0.20656575741609673	0.01968720829732684	0.03023799698404639	0.00272562964137442	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	8.574487573358436e-4	0.3751637423375944
ASXL1	2	26	2	0	4	2.093498613542101	2.6075048122962925	2.6075048122962925	9.264852840666084	0.00432762357397009	0.24832375309109567	0.01117824466761141	0.0077796702897056	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	9.000700107235637e-4	0.3848617541307529
HNRNPK	1	7	0	0	0	9.71800578932533	0	0	0	1.806475963228582e-5	0.7376002712447987	9.552963271119984e-5	1	0.02427645626584467	0.9424126707052872	0.066566463326982	1	9.79758988816748e-4	0.4096263470132955
HIST1H1A	0	5	0	0	0	16.20938902376069	0	0	0	2.2659211529219014e-5	0.9123610430750704	1.255806565123585e-4	1	0.02842069371404843	0.9424126707052872	0.08206870704903026	1	0.00125361673038004	0.5127292427254393
HRNR	3	12	0	0	2	4.207535554988446	0	0	2.0501270188633676	1.410565412373055e-4	0.502187434974374	5.455388649779902e-4	0.24491870311209948	0.13269188834193327	0.9424126707052872	0.277399140694484	1	0.00132551325149099	0.5306001343308847
KMT2D	10	67	10	1	3	1.5161579372139251	3.866182258253806	3.866182258253806	1.9693774882412425	0.02471337565196119	4.651917102047598e-4	6.584975220834677e-4	0.22024686426657528	0.8136677215017273	0.3646715348246813	0.31766595847380413	1	0.00142690560255753	0.5553566724618596
TET2	4	39	2	1	4	1.975415380264134	2.4670445111461783	2.4670445111461783	5.925830476680984	0.00228125727316308	0.18199136480980105	0.0058294942120628	0.02525758683859356	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00144639507550925	0.5553566724618596
AR	1	7	0	3	2	2.0706949997964124	12.445831300590154	12.445831300590154	5.462605430927627	0.10249227406989124	0.00213295186251427	0.00288314703015557	0.07110350517760507	0.8136677215017273	0.9424126707052872	0.8748956165378546	1	0.00194597841288846	0.7322327572016699
HIST1H3C	0	2	1	0	1	6.096740861703145	78.99401578507708	78.99401578507708	20.675654030071808	0.05066343189593103	0.00942679784168776	0.00529712053074948	0.04619745817329044	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00227960965881712	0.8409524729604988
GIGYF1	3	2	2	0	3	0.9172213248248092	10.643351917063647	10.643351917063647	14.297398999342162	0.9036428117376843	0.01638362798103598	0.05520422855195628	0.00497156594092917	0.9611134524299167	0.9424126707052872	0.9771679320909128	1	0.00252515548779841	0.9136206797584492
NEK6	1	1	0	1	2	2.4791554407317498	27.11738504255106	27.11738504255106	27.465833721926195	0.43325423634010074	0.0310195375165827	0.07283166751818315	0.00449327611580314	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00295338367488917	1
FUT9	0	2	0	0	4	1.6635268912927494	0	0	23.00913633156009	0.5144108580796353	0.7038541591333694	0.7511298933740606	4.401191160503255e-4	0.8159226419632835	0.9424126707052872	0.9771679320909128	0.4601200847686125	0.00298012001589209	1
OR2J2	0	0	0	0	3	0	0	0	27.065916279619433	0.16016231801182812	0.8164030728833792	0.3632555570617004	9.376790793529316e-4	0.8136677215017273	0.9424126707052872	0.9771679320909128	0.7352185381359778	0.00306036031923517	1
MAP2K1	1	7	1	0	2	2.910879070262031	5.546994724056693	5.546994724056693	16.131106516692142	0.02130417517138239	0.18325744296096713	0.0315252191730262	0.0119062541310338	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00333595851547363	1
PSMD3	0	0	1	1	1	0	30.18358356191702	30.18358356191702	6.770193489199394	0.1684140488704765	0.00187228574775566	0.00294036991072688	0.1291717437233716	0.8136677215017273	0.9424126707052872	0.8780971349272308	1	0.00337115390619324	1
TRADD	0	5	0	0	0	12.635425239502162	0	0	0	7.600488098558067e-5	0.8177175535023155	3.869789390266165e-4	1	0.0879846891175794	0.9424126707052872	0.2250944215074867	1	0.00342752675128033	1
ZNF780B	0	0	0	0	4	0	0	0	10.904027611830903	0.03402852088327635	0.4968747282737993	0.08501032859054147	0.00485261328196359	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00362739906709086	1
OR52A1	0	2	0	0	3	2.13446757194795	0	0	30.867521026565452	0.3482677305549984	0.8400068156381602	0.6307898469465525	6.550694094801084e-4	0.8136677215017273	0.9424126707052872	0.9771679320909128	0.6163548073798341	0.00363276710867543	1
OR52A5	0	0	1	0	2	0	20.38345448549781	20.38345448549781	20.31626638091952	0.21254069035893688	0.04274711752130622	0.0579608010030378	0.00784675062039359	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00395481329893088	1
MYO10	2	0	2	0	2	0	5.912496491571053	5.912496491571053	2.6026972017144168	0.00465160807211517	0.05373235518322505	0.00242274192991454	0.1889836299797087	0.8136677215017273	0.9424126707052872	0.7608925651790609	1	0.00397831027992512	1
PUF60	2	10	0	0	0	5.077935975633698	0	0	0	1.039666404220041e-4	0.655100918712181	4.762965614929504e-4	1	0.10866824293886584	0.9424126707052872	0.2635601031743638	1	0.00411971275752631	1
PSG1	1	2	0	1	2	2.058800677997657	15.300899665639772	15.300899665639772	28.29270710258962	0.3691285445809928	0.05898783557994358	0.11484036490019324	0.00425071242051907	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00421026465168172	1
YTHDC1	1	5	3	1	0	2.4875343249147073	12.719279883215656	12.719279883215656	0	0.0868652811198537	3.740866823042088e-4	5.168162037026969e-4	1	0.8136677215017273	0.31307903824710004	0.277399140694484	1	0.00442798988713233	1
TNPO3	2	4	2	0	2	2.774355830459534	12.425572527012168	12.425572527012168	7.144446716196135	0.08855765950695882	0.01192105479788963	0.01098621958514822	0.04718725952932021	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00444004593564351	1
STXBP5L	0	7	1	1	0	4.236583757861795	13.575700436516712	13.575700436516712	0	0.00290850950329546	0.00994708444319847	5.31288232286875e-4	1	0.8136677215017273	0.9424126707052872	0.277399140694484	1	0.0045373108819815	1
STUB1	0	2	2	0	1	2.351658451190568	22.19641891325706	22.19641891325706	12.617289638530634	0.2965469296685369	0.00356869033306761	0.00873760260934863	0.0735936446873088	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00536887757058879	1
CAPRIN1	0	4	0	0	3	3.759919806480186	0	0	12.306986734877652	0.03350786224724189	0.6418397175137136	0.09295319599520936	0.00719482784718897	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00555761524772657	1
KIAA1239	0	0	1	0	2	0	4.408877746295087	4.408877746295087	3.826907218654131	0.00316301420960885	0.23568109104789925	0.00584121572493412	0.11722996133630878	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00567426415264593	1
KDM5C	5	19	3	1	0	2.221169722507562	6.614823393650556	6.614823393650556	0	0.00606911750396166	0.0044776316032794	7.069041604538251e-4	1	0.8136677215017273	0.9424126707052872	0.3212897294298747	1	0.00583522201113506	1
PIWIL1	0	3	1	3	0	1.2712668170866648	16.15849061925185	16.15849061925185	0	0.6983007641139745	1.4637130904637807e-4	7.172408119514584e-4	1	0.8674698300455804	0.1619899887293269	0.3212897294298747	1	0.00591013523512906	1
ARAP3	2	0	0	0	3	0	0	0	8.22789240066432	0.01393602309574104	0.5018346805603453	0.03943288993642246	0.01839440145383148	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.0059687604649371	1
MYCBP2	0	15	1	1	2	2.9015189414412372	4.231314529627116	4.231314529627116	1.295015582514533	0.00132085566671336	0.1029662422299118	0.00201431539486873	0.3721671910241868	0.7687737215935098	0.9424126707052872	0.66486543577299	1	0.00614414661604023	1
ADNP	2	10	1	0	1	3.623978995298044	5.82495021108663	5.82495021108663	2.5661449899746844	0.00143016265843376	0.17359363100235303	0.00276757125592619	0.28253014686626443	0.7687737215935098	0.9424126707052872	0.8535915673605804	1	0.00637560310216234	1
ASPDH	0	0	0	0	2	0	0	0	52.24758959899153	0.33847732075795245	0.7873948412820192	0.6101485921087001	0.00132246763435403	0.8136677215017273	0.9424126707052872	0.9771679320909128	0.9217109608620084	0.00655390516747378	1
CALR	6	3	0	0	3	0.6186550036992304	0	0	21.73760778919274	0.3865868411892128	0.4148748165433953	0.49890960998133693	0.00168821242575771	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00680501205701067	1
SNRNP27	0	3	0	0	1	9.421843197283431	0	0	20.465856875696083	0.00488347296516711	0.7599711693458515	0.01811902918733943	0.0466495804743453	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00682610137816608	1
TAS2R30	0	1	0	0	3	0.93478263401896	0	0	27.676053952534613	0.946310085013223	0.7929239506461717	0.9639970644772312	8.826038425936008e-4	0.9790711417168438	0.9424126707052872	0.9784472202986324	0.7221234395620165	0.00686558342086984	1
TMEM99	0	2	0	0	2	5.395137466755512	0	0	26.56607475946114	0.06444545661129397	0.8610179014693763	0.1780843950116877	0.00478158312497101	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00687051626738577	1
ZNF337	0	0	0	0	3	0	0	0	14.276960746949626	0.07712628272611699	0.5299926629207391	0.1734339371644371	0.00498936211793693	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00696794569942726	1
PNISR	3	1	1	0	4	0.6565124002160684	5.9792938889489875	5.9792938889489875	13.56452068378569	0.655809290022026	0.16860868904289528	0.3475410186975787	0.00249714560622946	0.8498985371328606	0.9424126707052872	0.9771679320909128	1	0.00698582556095173	1
RAG1	0	4	1	0	4	1.143013951057045	6.847049560845749	6.847049560845749	13.40266627020135	0.8022747383332987	0.1452095830504634	0.33842970509998194	0.00259235014965556	0.9163983320382904	0.9424126707052872	0.9771679320909128	1	0.00705251694697184	1
FIBIN	1	1	0	0	2	1.7917575682538684	0	0	55.94777891872575	0.5980300568620724	0.8241086070768225	0.8487848475561173	0.00115875549030809	0.8282177025986772	0.9424126707052872	0.9771679320909128	0.8703949347568384	0.00779387657336605	1
CDH2	1	7	0	1	1	4.108009909905491	8.296983894596934	8.296983894596934	3.3293151381649153	0.00343000295495543	0.1172011347426909	0.00447468796875483	0.23245172056970895	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00818429878176418	1
BRWD1	1	0	0	0	4	0	0	0	5.248049771027439	0.01148285158370554	0.45730133193306	0.03173620250871978	0.03368437871714309	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00838216041333661	1
KAT6B	12	19	2	0	7	0.9133469240879678	1.6463012226386349	1.6463012226386349	10.395978227763363	0.7332453931123335	0.5207701208189288	0.751730191535138	0.00150652573554383	0.8814874649211146	0.9424126707052872	0.9771679320909128	0.977579354878064	0.00881462458845427	1
BOD1L1	7	7	3	0	5	1.0340634641937287	8.375417689505838	8.375417689505838	4.2351296303911266	0.9343442417357918	0.00680159110532951	0.02564013908191431	0.04475973993173821	0.9743563765974326	0.9424126707052872	0.9771679320909128	1	0.00891725777957142	1
C9orf91	0	0	0	2	0	0	64.6974285220474	64.6974285220474	0	0.35652382230642476	3.763099736568965e-4	0.00114894619671157	1	0.8136677215017273	0.31307903824710004	0.4699189944550344	1	0.00892605972048965	1
HIST1H2BF	1	1	0	0	2	2.180754101157521	0	0	49.29292179401981	0.4932267811161763	0.8731562332208597	0.7806340657186812	0.00147946152508405	0.8136677215017273	0.9424126707052872	0.9771679320909128	0.977579354878064	0.00896646726967176	1
PIK3R2	3	5	0	0	3	0.8193999988904662	0	0	20.792735528118993	0.6650076413093783	0.37743128817641813	0.622002800803162	0.0018986285952549	0.8529179742037386	0.9424126707052872	0.9771679320909128	1	0.00914226447009947	1
CXCR4	1	2	1	0	2	0.481048515805839	6.914420335076929	6.914420335076929	21.868913793024085	0.25712843058577683	0.14359820831016568	0.17316543520999628	0.00685601698180013	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00918453591579393	1
KRT84	0	8	0	0	0	5.518780008120409	0	0	0	2.7203516709617404e-4	0.7386210579210347	0.00124171173551357	1	0.22252476668467036	0.9424126707052872	0.4970545657862206	1	0.00955033329053123	1
LRRC69	0	0	1	1	0	0	64.53618001957523	64.53618001957523	0	0.41271744215870376	3.7829184097759594e-4	0.00126831752074185	1	0.8136677215017273	0.31307903824710004	0.4971276215674438	1	0.00972807661175434	1
SLFN13	2	0	1	0	2	0	10.57430055659311	10.57430055659311	8.913259338687984	0.05987815733645918	0.08930660189007611	0.03871185089195039	0.03304468497585553	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00980075623369203	1
SCAF11	1	4	0	0	5	1.7922413977557474	0	0	11.076493252283203	0.3030574158777415	0.5559102377758628	0.4912447250576971	0.00265869551975314	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.00997933268675821	1
IMPA1	0	0	2	0	0	0	64.17898956323891	64.17898956323891	0	0.4276125328540462	3.8273721057102694e-4	0.00131056308918187	1	0.8136677215017273	0.31307903824710004	0.5032027338748515	1	0.01000916137762475	1
ZFHX3	22	57	2	0	7	1.451008709109619	1.06279083391674	1.06279083391674	6.281040955881226	0.04335959510519005	0.9330763750693212	0.12863580340505976	0.0103938660661219	0.8136677215017273	0.9487083290398944	0.9771679320909128	1	0.01018452043567574	1
PICALM	0	0	0	0	3	0	0	0	18.027555353080828	0.2582712521979186	0.7397903171675366	0.4999284928727765	0.00275640864643751	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.01045510182394748	1
RBFOX2	0	2	0	0	3	1.6794583756164083	0	0	20.69124120411097	0.5071419642942523	0.639012205115074	0.717384380114766	0.00192327017612068	0.8142684923806571	0.9424126707052872	0.9771679320909128	1	0.0104664092717589	1
MECP2	3	5	0	0	0	9.447604585138915	0	0	0	2.9916188868372995e-4	0.8110535031215158	0.00140277463202898	1	0.2251372709478278	0.9424126707052872	0.5278360385398646	1	0.01061802640402687	1
HERC5	1	4	1	1	0	3.604628865664733	25.32647727074815	25.32647727074815	0	0.0384536132880865	0.00270322360436214	0.00147505647789303	1	0.8136677215017273	0.9424126707052872	0.5410240853105758	1	0.01109103668535393	1
AKR7A2	0	0	1	1	0	0	49.23045815840999	49.23045815840999	0	0.24171951606484643	6.688647232726552e-4	0.00149533604954554	1	0.8136677215017273	0.4840008039866052	0.5410240853105758	1	0.0112231016387756	1
ZBTB39	0	5	0	0	3	2.1924360969453245	0	0	14.089235453608302	0.13434992057667505	0.6623506403319053	0.2945880181846404	0.00515686285958497	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.01137783245311285	1
TMEM70	0	0	2	0	0	0	53.3156982489781	53.3156982489781	0	0.30879888540920786	5.655209137355177e-4	0.00152442461918356	1	0.8136677215017273	0.4255884188408012	0.5411419770815007	1	0.01141205343416429	1
C17orf107	0	0	0	0	2	0	0	0	38.46848909992287	0.3752102695507967	0.8077302172357144	0.6554113438628426	0.00237870373261544	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.01163611506175033	1
ZBTB11	2	7	1	0	2	3.1584415408628295	4.475651474522136	4.475651474522136	5.959511608431764	0.01400105112039362	0.23174845701911095	0.02579714520518206	0.06242868131181374	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.01196784732773093	1
TNF	0	4	0	0	1	5.128302292369148	0	0	22.09378026671382	0.01145961185970745	0.7469961778200599	0.03868069823899189	0.04335703071511796	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.01239479840549639	1
TP53AIP1	0	2	1	0	0	11.51937161473381	81.17679199703078	81.17679199703078	0	0.01396686703627181	0.00914676652327572	0.00170325007249261	1	0.8136677215017273	0.9424126707052872	0.5934249419236298	1	0.01256183896782103	1
MSL1	0	0	0	1	2	0	16.876444593685214	16.876444593685214	10.471129910996051	0.2160129557959476	0.05285075440333431	0.07012611493830667	0.02526147780184169	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.01299552975372209	1
DACT2	1	3	1	0	2	2.059352267578525	15.316753350170064	15.316753350170064	12.496786600633843	0.2747347653523897	0.0589192068712685	0.09556339786255864	0.01866355646576555	0.8136677215017273	0.9424126707052872	0.9771679320909128	1	0.01307192280199442	1
VSIG4	0	5	0	0	0	8.909160812581973	0	0	0	4.007787653080852e-4	0.7850542894990152	0.00182622402818188	1	0.29000968040408903	0.9424126707052872	0.6219082650929162	1	0.01334148843369542	1
